"报表期起始日","报表期截止日","销售商品、提供劳务收到的现金","客户存款和同业存放款项净增加","向中央银行借款净增加额","向其他金融机构拆入资金净增加","收到原保险合同保费取得的现金","收到再保险业务现金净额","保户储金及投资款净增加额","处置交易性金融资产净增加额","收取利息、手续费及佣金的现金","拆入资金净增加额","回购业务资金净增加额","收到的税费返还","收到的其他与经营活动有关的现","特殊处理本身不平经营流入","特殊处理格式不同经营流入","经营活动现金流入小计","购买商品、接受劳务支付的现金","客户贷款及垫款净增加额","存放中央银行和同业款项净增加","支付原保险合同赔付款项的现金","支付利息、手续费及佣金的现金","支付保单红利的现金","支付给职工以及为职工支付的现","支付的各项税费","支付的其他与经营活动有关的现","特殊处理本身不平经营流出","特殊处理格式不同经营流出","经营活动现金流出小计","特殊处理本身不平经营净额","特殊处理格式不同经营净额","一、经营活动产生的现金流量净","收回投资所收到的现金","取得投资收益收到的现金","处置固定资产、无形资产和其他","处置子公司及其他营业单位收到","收到的其他与投资活动有关的现","减少质押和定期存款所收到的现","特殊处理本身不平投资流入","特殊处理格式不同投资流入","投资活动现金流入小计","购建固定资产、无形资产和其他","投资所支付的现金","质押贷款净增加额","取得子公司及其他营业单位支付","支付的其他与投资活动有关的现","增加质押和定期存款所支付的现","特殊处理本身不平投资流出","特殊处理格式不同投资流出","投资活动现金流出小计","特殊处理本身不平投资净额","特殊处理格式不同投资净额","二、投资活动产生的现金流量净","吸收投资收到的现金","其中：子公司吸收少数股东投资","取得借款收到的现金","发行债券收到的现金","收到其他与筹资活动有关的现金","特殊处理本身不平筹资流入","特殊处理格式不同筹资流入","筹资活动现金流入小计","偿还债务支付的现金","分配股利、利润或偿付利息所支","其中：子公司支付给少数股东的","支付其他与筹资活动有关的现金","特殊处理本身不平筹资流出","特殊处理格式不同筹资流出","筹资活动现金流出小计","特殊处理本身不平筹资净额","特殊处理格式不同筹资净额","三、筹资活动产生的现金流量净","四、汇率变动对现金及现金等价","特殊处理本身不平现金净额","特殊处理格式不同现金净额","五、现金及现金等价物净增加额","期初现金及现金等价物余额","特殊处理本身不平现金期末","特殊处理格式不同现金期末","六、期末现金及现金等价物余额","净利润","少数股东权益","未确认的投资损失","资产减值准备","固定资产折旧、油气资产折耗、","投资性房地产折旧、摊销","无形资产摊销","长期待摊费用摊销","待摊费用的减少","预提费用的增加","处置固定资产、无形资产和其他","固定资产报废损失","公允价值变动损失","递延收益增加（减：减少）","预计负债","财务费用","投资损失","递延所得税资产减少","递延所得税负债增加","存货的减少","经营性应收项目的减少","经营性应付项目的增加","已完工尚未结算款的减少(减:","已结算尚未完工款的增加(减:","其他","特殊处理本身不平经营净额附表","特殊处理格式不同经营净额附表","经营活动产生现金流量净额","债务转为资本","一年内到期的可转换公司债券","融资租入固定资产","现金的期末余额","现金的期初余额","现金等价物的期末余额","现金等价物的期初余额","特殊处理本身不平现金净额附表","特殊处理格式不同现金净额附表","现金及现金等价物的净增加额"
20140101,20141231,278659000000,,,,,,,,1508000000,,,85000000,7140000000,,,287392000000,148498000000,116000000,,,378000000,,20450000000,43826000000,4712000000,,1901000000,219881000000,,,67511000000,195000000,1208000000,686000000,,1981000000,,,,4070000000,44539000000,1147000000,,,1547000000,,,,47233000000,,,-43163000000,971000000,,44500000000,39915000000,53000000,,,85439000000,83753000000,28408000000,5066000000,,,,112161000000,,,-26722000000,-2000000,,,-2376000000,38332000000,,,35956000000,46373000000,,,616000000,18750000000,,1249000000,1318000000,,,206000000,,5000000,,,3460000000,-733000000,-156000000,,1644000000,-5769000000,-595000000,,,,,1143000000,67511000000,,,,35956000000,38332000000,,,,,-2376000000
20140101,20140930,213817000000,8514000000,,,,,,,1125000000,,,75000000,6137000000,,,229668000000,118136000000,980000000,,,314000000,,13258000000,29205000000,5205000000,,,167098000000,,,62570000000,381000000,957000000,30000000,,611000000,,,,1979000000,30037000000,45000000,,,1699000000,,,,31781000000,,,-29802000000,562000000,,41081000000,39945000000,53000000,,,81641000000,64100000000,26233000000,4443000000,,,,90333000000,,,-8692000000,-77000000,,,23999000000,38332000000,,,62331000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62331000000,38332000000,,,,,23999000000
20140101,20140630,139752000000,3072000000,,,,,,,733000000,,,70000000,3720000000,,,147347000000,79771000000,1932000000,,,214000000,,8387000000,19636000000,5326000000,,,115266000000,,,32081000000,161000000,619000000,25000000,,,428000000,,,1233000000,18115000000,45000000,,,,1330000000,,,19490000000,,,-18257000000,400000000,,50644000000,,53000000,,,51097000000,35944000000,3842000000,1652000000,,,,39786000000,,,11311000000,2000000,,,25137000000,38332000000,,,63469000000,26318000000,,,246000000,8964000000,,638000000,254000000,,,17000000,,-26000000,,,1710000000,-202000000,,-229000000,-730000000,-11508000000,5159000000,,,,,1470000000,32081000000,,,,63469000000,38332000000,,,,,25137000000
20140101,20140331,62038000000,,,,,,,,354000000,,,44000000,842000000,,,63278000000,39906000000,1373000000,,,106000000,,4281000000,9728000000,1427000000,,422000000,57243000000,,,6035000000,,120000000,145000000,,,206000000,,267000000,738000000,5757000000,,,,,1000000,,,5758000000,,,-5020000000,93000000,,16211000000,,55000000,,,16359000000,9406000000,741000000,93000000,,,,10147000000,,,6212000000,8000000,,,7235000000,38332000000,,,45567000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45567000000,38332000000,,,,,7235000000
20130101,20131231,312789000000,2019000000,,,,,,,1220000000,,,69000000,12529000000,,,328626000000,187161000000,10377000000,,,597000000,,18823000000,50746000000,6634000000,,,274338000000,,,54288000000,309000000,1490000000,167000000,,,3789000000,,,5755000000,51665000000,236000000,,,,1109000000,,518000000,53528000000,,,-47773000000,2860000000,,68608000000,,,,,71468000000,51439000000,30487000000,5046000000,9338000000,,,91264000000,,,-19796000000,-24000000,,,-13305000000,51637000000,,,38332000000,55707000000,,,488000000,18559000000,,1158000000,464000000,,,553000000,,156000000,,,2101000000,-820000000,-144000000,,-1992000000,-23744000000,3629000000,,,,,-1827000000,54288000000,,,,,,38332000000,51637000000,,,-13305000000
20130101,20130930,219035000000,,,,,,,,,,,58000000,6089000000,,,225182000000,127010000000,,,,,,11952000000,36117000000,14932000000,,,190011000000,,,35171000000,229000000,965000000,73000000,,,3781000000,,,5048000000,31787000000,185000000,,,,978000000,,255000000,33205000000,,,-28157000000,1726000000,,38294000000,9970000000,,,,49990000000,36764000000,26467000000,4372000000,,,15000000,63246000000,,,-13256000000,-45000000,,,-6287000000,51627000000,,,45340000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45340000000,51627000000,,,,,-6287000000
20130101,20130630,136859000000,,,,,,,,,,,41000000,4910000000,,,141810000000,75252000000,,,,,,7645000000,28127000000,12868000000,,,123892000000,,,17918000000,229000000,543000000,44000000,,,1781000000,,,2597000000,21412000000,185000000,,,,844000000,,,22441000000,,,-19844000000,910000000,,14625000000,,,,,15535000000,21191000000,3282000000,1383000000,,,15000000,24488000000,,,-8953000000,-47000000,,,-10926000000,51627000000,,,40701000000,28688000000,,,114000000,8310000000,,500000000,237000000,,,226000000,,136000000,,,748000000,-461000000,-527000000,,-3491000000,-15737000000,-2066000000,,,,,1241000000,17918000000,,,,40701000000,51627000000,,,,,-10926000000
20130101,20130331,69793000000,,,,,,,,,,,,2549000000,,,72342000000,40806000000,,,,,,3689000000,9740000000,4961000000,,,59196000000,,,13146000000,,317000000,420000000,,,,,1617000000,2354000000,7808000000,185000000,,,,,,50000000,8043000000,,,-5689000000,403000000,,5776000000,,,,,6179000000,6041000000,1476000000,666000000,,,,7517000000,,,-1338000000,,,,6119000000,51627000000,,,57746000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57746000000,51627000000,,,,,6119000000
20120101,20121231,277299000000,,,,,,,,,,,118000000,11859000000,,,289276000000,150624000000,,,,,,17186000000,43570000000,6049000000,,,217429000000,,,71847000000,82000000,902000000,220000000,,,4033000000,,498000000,5735000000,53369000000,,,,1686000000,4497000000,,7363000000,66915000000,,,-61180000000,3959000000,,36099000000,,12000000,,150000000,40220000000,34534000000,26381000000,4764000000,,,,60915000000,,,-20695000000,3000000,,,-10025000000,61652000000,,,51627000000,55707000000,,,113000000,17442000000,,1074000000,755000000,,,142000000,,14000000,,,2142000000,-534000000,106000000,,-1850000000,-7753000000,4114000000,,,,,375000000,71847000000,,,,51627000000,61652000000,,,,,-10025000000
20120101,20120930,204010000000,,,,,,,,,,,78000000,10584000000,,,214672000000,106872000000,,,,,,10048000000,33426000000,6482000000,,,156828000000,,,57844000000,73000000,114000000,108000000,,674000000,,,5956000000,6925000000,30060000000,413000000,,,,,,13942000000,44415000000,,,-37490000000,3162000000,,17686000000,,,,150000000,20998000000,20694000000,24578000000,4119000000,,,,45272000000,,,-24274000000,-2000000,,,-3922000000,61652000000,,,57730000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57730000000,61652000000,,,,,-3922000000
20120101,20120630,134765000000,,,,,,,,,,,77000000,6485000000,,,141327000000,72717000000,,,,,,6665000000,23374000000,3191000000,,,105947000000,,,35380000000,73000000,106000000,90000000,445000000,444000000,3427000000,,1000000,4586000000,16067000000,302000000,,859000000,,505000000,,5847000000,23580000000,,,-18994000000,3073000000,,4583000000,,,,150000000,7806000000,13595000000,20259000000,3046000000,,,,33854000000,,,-26048000000,-2000000,,,-9664000000,61652000000,,,51988000000,29202000000,,,,8397000000,,569000000,436000000,,,-26000000,,-1000000,,,1324000000,-211000000,99000000,,-4339000000,-7165000000,5719000000,,,,,1376000000,35380000000,,,,51988000000,61652000000,,,,,-9664000000
