"报表期起始日","报表期截止日","销售商品、提供劳务收到的现金","客户存款和同业存放款项净增加","向中央银行借款净增加额","向其他金融机构拆入资金净增加","收到原保险合同保费取得的现金","收到再保险业务现金净额","保户储金及投资款净增加额","处置交易性金融资产净增加额","收取利息、手续费及佣金的现金","拆入资金净增加额","回购业务资金净增加额","收到的税费返还","收到的其他与经营活动有关的现","特殊处理本身不平经营流入","特殊处理格式不同经营流入","经营活动现金流入小计","购买商品、接受劳务支付的现金","客户贷款及垫款净增加额","存放中央银行和同业款项净增加","支付原保险合同赔付款项的现金","支付利息、手续费及佣金的现金","支付保单红利的现金","支付给职工以及为职工支付的现","支付的各项税费","支付的其他与经营活动有关的现","特殊处理本身不平经营流出","特殊处理格式不同经营流出","经营活动现金流出小计","特殊处理本身不平经营净额","特殊处理格式不同经营净额","一、经营活动产生的现金流量净","收回投资所收到的现金","取得投资收益收到的现金","处置固定资产、无形资产和其他","处置子公司及其他营业单位收到","收到的其他与投资活动有关的现","减少质押和定期存款所收到的现","特殊处理本身不平投资流入","特殊处理格式不同投资流入","投资活动现金流入小计","购建固定资产、无形资产和其他","投资所支付的现金","质押贷款净增加额","取得子公司及其他营业单位支付","支付的其他与投资活动有关的现","增加质押和定期存款所支付的现","特殊处理本身不平投资流出","特殊处理格式不同投资流出","投资活动现金流出小计","特殊处理本身不平投资净额","特殊处理格式不同投资净额","二、投资活动产生的现金流量净","吸收投资收到的现金","其中：子公司吸收少数股东投资","取得借款收到的现金","发行债券收到的现金","收到其他与筹资活动有关的现金","特殊处理本身不平筹资流入","特殊处理格式不同筹资流入","筹资活动现金流入小计","偿还债务支付的现金","分配股利、利润或偿付利息所支","其中：子公司支付给少数股东的","支付其他与筹资活动有关的现金","特殊处理本身不平筹资流出","特殊处理格式不同筹资流出","筹资活动现金流出小计","特殊处理本身不平筹资净额","特殊处理格式不同筹资净额","三、筹资活动产生的现金流量净","四、汇率变动对现金及现金等价","特殊处理本身不平现金净额","特殊处理格式不同现金净额","五、现金及现金等价物净增加额","期初现金及现金等价物余额","特殊处理本身不平现金期末","特殊处理格式不同现金期末","六、期末现金及现金等价物余额","净利润","少数股东权益","未确认的投资损失","资产减值准备","固定资产折旧、油气资产折耗、","投资性房地产折旧、摊销","无形资产摊销","长期待摊费用摊销","待摊费用的减少","预提费用的增加","处置固定资产、无形资产和其他","固定资产报废损失","公允价值变动损失","递延收益增加（减：减少）","预计负债","财务费用","投资损失","递延所得税资产减少","递延所得税负债增加","存货的减少","经营性应收项目的减少","经营性应付项目的增加","已完工尚未结算款的减少(减:","已结算尚未完工款的增加(减:","其他","特殊处理本身不平经营净额附表","特殊处理格式不同经营净额附表","经营活动产生现金流量净额","债务转为资本","一年内到期的可转换公司债券","融资租入固定资产","现金的期末余额","现金的期初余额","现金等价物的期末余额","现金等价物的期初余额","特殊处理本身不平现金净额附表","特殊处理格式不同现金净额附表","现金及现金等价物的净增加额"
20170101,20170630,20549426965.94,,,,,,,,,,,965891864.8,59009330.56,,,21574328161.3,1801105951.13,,,,,,749486687.96,5220978615.9,82442523.1,,,7854013778.09,,,13720314383.21,20112346917.92,119158783.92,4541342.65,,,,,,20236047044.49,1246554646.44,22689592584.65,,,,,,,23936147231.09,,,-3700100186.6,88200000,88200000,24020000000,,,,,24108200000,24736772942.12,1356600193.56,,5984798632.53,,,32078171768.21,,,-7969971768.21,-44991935.78,,,2005250492.62,3369758251.34,,,5375008743.96,8104930016.04,,,13893893.32,6142838050.77,,5444747.55,,,,-3685479.97,,-59816765.7,,,2855671527.87,-1582136799.4,-8281356.85,-13737.5,-2885876.03,-2035122254.01,289478417.12,,,,,,13720314383.21,,,,5375008743.96,3369758251.34,,,,,2005250492.62
20170101,20170331,8884375512.33,,,,,,,,,,,525251786.19,23025170.39,,,9432652468.91,672885014.71,,,,,,343400998.17,2643497714.79,37265837.42,,,3697049565.09,,,5735602903.82,1089921597.48,613794057.28,19600,,,,,,1703735254.76,715897953.14,4472222141.48,,,,,,,5188120094.62,,,-3484384839.86,88200000,88200000,14120000000,,,,,14208200000,13080088659.83,745185077.07,,2336682213.2,,,16161955950.1,,,-1953755950.1,-4236470.1,,,293225643.76,3369758251.34,,,3662983895.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3662983895.1,3369758251.34,,,,,293225643.76
20160101,20161231,57256635482.06,,,,,,,,,,,2870679180.56,234185536.21,,,60361500198.83,6138261726.5,,,,,,1733924945.78,13262996901.53,236485430.72,,,21371669004.53,,,38989831194.3,1515109446.79,709120150.35,25010567.18,,,,,,2249240164.32,2253519305.67,6253138308.63,,37455158900,517165804.83,,,,46478982319.13,,,-44229742154.81,24325456000,308000000,75232606284.47,,,,,99558062284.47,68896499540.06,17346041596.52,2056651949.97,9245208019.01,,,95487749155.59,,,4070313128.88,9724806.29,,,-1159873025.34,4529631276.68,,,3369758251.34,20937775708.98,,,106474886.74,12306601250.19,,12862348,,,,-20469273.82,,66123492,,,6723239508.84,-1334188678.05,-30590822.36,15862.5,5362608.73,-292654844.46,509279147.01,,,,,,38989831194.3,,,,3369758251.34,4529631276.68,,,,,-1159873025.34
20160101,20160930,41168126072.38,,,,,,,,,,,1781337506.64,167917933.95,,,43117381512.97,4092963595.11,,,,,,1107582397.86,10093770833.95,100107445.21,,,15394424272.13,,,27722957240.84,120514062.4,535345454.95,11132072.86,,,,,,666991590.21,1954908335.42,3361525250.62,,37455158900,,,,,42771592486.04,,,-42104600895.83,24325456000,308000000,56365790898.62,,,,,80691246898.62,48425562526.41,18092312881.31,,82858391.96,,,66600733799.68,,,14090513098.94,-5597336.99,,,-296727893.04,4529631276.68,,,4232903383.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4232903383.64,4529631276.68,,,,,-296727893.04
20160101,20160630,20647339597.85,,,,,,,,,,,1139743948.58,121913428.7,,,21908996975.13,2229739348.33,,,,,,733430262.03,4952467160.67,65107014.55,,,7980743785.58,,,13928253189.55,138522.08,194259083.29,7751254.86,,,,,,202148860.23,1323795542.82,1385378405.96,,37455158900,,,,,40164332848.78,,,-39962183988.55,24025456000,8000000,37350000000,,,,,61375456000,25733290959.63,7833723681.37,,82766911.96,,,33649781552.96,,,27725674447.04,-1047424.6,,,1690696223.44,4529631276.68,,,6220327500.12,7680487647.24,,,5149009.38,6149510020.23,,6477766.14,,,,-39154497.19,,59940,,,3232278954.68,-840838955.39,-533361.89,,-6683684.66,-2878203775.08,619704126.09,,,,,,13928253189.55,,,,6220327500.12,4529631276.68,,,,,1690696223.44
20160101,20160331,5076797731.11,,,,,,,,,,,540434619.1,8618117.65,,,5625850467.86,493668248.48,,,,,,376845345.58,1570254183.41,26670000.86,,,2467437778.33,,,3158412689.53,138522.08,,3910466.28,,,,,,4048988.36,77356576.04,332117935.96,,,,,,,409474512,,,-405425523.64,8000000,8000000,11000000000,,,,,11008000000,13101406233.84,219836281.47,,16385487.35,,,13337628002.66,,,-2329628002.66,-181018.63,,,423178144.6,3855882291.2,,,4279060435.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4279060435.8,3855882291.2,,,,,423178144.6
20150101,20151231,28286619195.24,,,,,,,,,,,2045261247.21,68395686.37,,,30400276128.82,2412339634.8,,,,,,1593857002.34,8515300599.19,161813997.39,,,12683311233.72,,,17716964895.1,1768460059.33,581746558.07,36430790.1,,,,,,2386637407.5,460251120.66,572966621.42,,,,,,,1033217742.08,,,1353419665.42,29800000,29800000,15000000000,,65000000,,,15094800000,24211317823.68,9155434508.33,134613.67,56768167.24,,,33423520499.25,,,-18328720499.25,481494.17,,,742145555.44,3113736735.76,,,3855882291.2,11520213592.79,,,-125066588.35,6162705436.74,,17659252.5,,,,6278391.61,,-77390,,,2898893336.35,-2211001759.55,31498379.23,,283002.45,183080878,-767501636.67,,,,,,17716964895.1,,,,3855882291.2,3113736735.76,,,,,742145555.44
20150101,20150930,18975736989.87,,,,,,,,,,,1565183199.35,144794494.46,,,20685714683.68,1702105915.75,,,,,,939814018.9,6157080922.59,88434164.49,,,8887435021.73,,,11798279661.95,1653049396.48,392479396.18,52558.91,,,,,,2045581351.57,313169839.51,437076466.42,,,,,,,750246305.93,,,1295335045.64,,,15000000000,,,,,15000000000,20157413017.11,8606135425.71,,3161032.53,,,28766709475.35,,,-13766709475.35,307354.85,,,-672787412.91,3113736735.76,,,2440949322.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2440949322.85,3113736735.76,,,,,-672787412.91
20150101,20150630,10260843634.44,,,,,,,,,,,947771177.72,110845613.77,,,11319460425.93,1208839592.47,,,,,,630889129.43,3498633783.18,51158098.63,,,5389520603.71,,,5929939822.22,1594404613.57,3538846.9,236261.6,,,,,,1598179722.07,236945270.7,7780800,,,,,,,244726070.7,,,1353453651.37,,,7500000000,,,,,7500000000,9038527503.44,7250847787.1,,2054002.19,,,16291429292.73,,,-8791429292.73,-17209.07,,,-1508053028.21,3113736735.76,,,1605683707.55,5200237535.01,,,-146842695.03,3067219155.13,,11220708.64,,,,-883461.39,,,,,1463169040.82,-1823586650.22,36774424.76,,1607225.55,-1349504380.64,-529471080.41,,,,,,5929939822.22,,,,1605683707.55,3113736735.76,,,,,-1508053028.21
20150101,20150331,4371263320.23,,,,,,,,,,,589836440.26,11147748.67,,,4972247509.16,455593255.28,,,,,,304623374.81,2075899800.17,9824825.32,,,2845941255.58,,,2126306253.58,1143194755.68,12853.33,24233.73,,,,,,1143231842.74,34997779.31,,,,,,,,34997779.31,,,1108234063.43,,,5500000000,,,,,5500000000,5968014593.97,433501992.4,,3161032.53,,,6404677618.9,,,-904677618.9,100464.47,,,2329963162.58,3113736735.76,,,5443699898.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5443699898.34,3113736735.76,,,,,2329963162.58
