"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20170101,20170630,19290324379.91,19290324379.91,,,,,,,,12180295584.56,8642242040.86,,,,,,,,,,,408777758.68,4616026.4,285823827.64,2824942037.66,13893893.32,,,59816765.7,1582136799.4,590179278.14,,,,,,,,9717874225.25,7447363.28,4103868.35,3496234.13,,,9721217720.18,1616287704.14,,,,8104930016.04,8104818289.34,,111726.7,,,0.37,0.37,94959664.65,94959664.65,,8199889680.69,8199777953.99,111726.7,,,,,,,,,,,,,,,,,,,,,,,,
20170101,20170331,7854916027.23,7854916027.23,,,,,,,,5996028911.14,4223007251.15,,,,,,,,,,,185250799.55,1967779.97,129037320.2,1452932213.5,3833546.77,,,-8780,835098399.27,239243944.42,,,,,,,,2693976735.36,525407593.98,360910.66,21865.18,,,3219023418.68,509907737.99,,,,2709115680.69,2708003431.57,,1112249.12,,,0.12,0.12,327209332.43,,,3036325013.12,3035212764,1112249.12,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20161231,48939388714.62,48939388714.62,,,,,,,,27930753521.54,19237995018.65,,,,,,,,,,,1073661566.84,8087389.77,825185989.22,6679348670.32,106474886.74,,,-66123492,1334188678.05,970291705.05,,,,,,,,22276700379.13,2911527020.64,34290017.72,17582361.81,,,25153937382.05,4216161673.07,,,,20937775708.98,20781182597.33,,156593111.65,,,0.94,0.94,737666921.5,737666921.5,,21675442630.48,21518849518.83,156593111.65,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160930,37250774848.51,37250774848.51,,,,,,,,20364999822.53,13987380481.83,,,,,,,,,,,696069859.12,3954010.57,661090194.53,5008117214.16,8388062.32,,,-27536.25,1075537276.98,784628419.2,,,,,,,,17961284766.71,1825380451.59,25201988.19,13126121.68,,,19761463230.11,3425344780.13,,,,16336118449.98,16338604374.99,,-2485925.01,,,0.84,0.84,383268570.76,,,16719387020.74,16721872945.75,-2485925.01,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160630,20068593049.48,20068593049.48,,,,,,,,12622322521.06,8594895820.63,,,,,,,,,,,372624985.95,2075185.74,402286637.2,3245290882.16,5149009.38,,,-59940,840838955.39,545503648.83,,,,,,,,8287049543.81,1179706547.9,1507000.68,96970.68,,,9465249091.03,1784761443.79,,,,7680487647.24,7680742594.93,498352467.57,-254947.69,,,0.42,0.42,-199345561.53,-199345561.53,,7481142085.71,7481397033.4,-254947.69,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160331,4552216496.55,4552216496.55,,,,,,,,2842722775.26,2138449097.73,,,,,,,,,,,98736007.81,883365.31,83678177.12,518612974.07,2363153.22,,,-77390,198504695.62,198388328.54,,,,,,,,1907921026.91,544790943.2,1116221.07,13391.07,,,2451595749.04,564390671.44,,,,1887205077.6,1888701920.75,,-1496843.15,,,0.11,0.11,-328386118.61,-328386118.61,,1558818958.99,1560315802.14,-1496843.15,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20151231,24239072675.51,24239072675.51,,,,,,,,13555767336.39,9798465517.46,,,,,,,,,,,515858488.5,4661225.11,512157396.87,2849691296.8,-125066588.35,,,77390,2211001759.55,1033282895.34,,,,,,,,12894384488.67,2049726931.85,16555646.13,7317074.02,,,14927555774.39,3407342181.6,,,,11520213592.79,11519976416.61,,237176.18,,,0.7,0.7,-808508194.62,-808508194.62,,10711705398.17,10711468221.99,237176.18,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150930,18464153225.82,18464153225.82,,,,,,,,9777358895.4,7033485255.54,,,,,,,,,,,379076560.65,2568158.25,319379332.03,2189502711.48,-146653122.55,,,,2040789294.85,844070004.79,,,,,,,,10727583625.27,1541594062.01,2953110.61,-964102.47,,,12266224576.67,2772911364.82,,,,9493313211.85,9493227111.96,,86099.89,,,0.58,0.58,-859226263.62,-859226263.62,,8634086948.23,8634000848.34,86099.89,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150630,10034668042.09,10034668042.09,,,,,,,,6183941264.31,4497936239.61,,,,,,,,,,,210535756.21,1641160.35,185435160.64,1435235642.53,-146842695.03,,,,1823586650.22,648107204.32,,,,,,,,5674313428,948906861.39,3725269.03,14066.95,,,6619495020.36,1419257485.35,,,,5200237535.01,5200113923.8,,123611.21,,,0.32,0.32,358394109.3,358394109.3,,5558631644.31,5558508033.1,123611.21,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150331,3827235923.44,3827235923.44,,,,,,,,2838716835.12,2090734576.32,,,,,,,,,,,82375051.02,749898.38,81633190.32,734667827.4,-151443708.32,,,,845813420.98,585595776.01,,,,,,,,1834332509.3,589945686.82,65988.88,38160.63,,,2424212207.24,537434827.77,,,,1886777379.47,1886768571.38,,8808.09,,,0.11,0.11,-114988003.74,-114988003.74,,1771789375.73,1771780567.64,8808.09,,,,,,,,,,,,,,,,,,,,,,,,
