"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20170101,20170630,7464664934.38,7464664934.38,,,,,,,,6677841591.33,4520040801.14,,,,,,,,,,,54023359.42,946818977.03,1018690379.2,48639551.95,89628522.59,,,,-14018542.65,-18719464.17,,,,,,,,1117215103.68,17678132.48,1708841.06,505832.91,,,1133184395.1,153360669.71,,,,979823725.39,983001211.23,,-3177485.84,,,0.34,0.34,366120.29,366120.29,,980189845.68,983367331.52,-3177485.84,,,,,,,,,,,,,,,,,,,,,,,,
20170101,20170331,2648612419.36,2648612419.36,,,,,,,,2532178698.53,1595885119.46,,,,,,,,,,,18580686.43,403620472.29,478853735.37,9861307.62,25377377.36,,,55635.96,-7366992.63,-9332581.24,,,,,,,,109122364.16,200266801.39,1140157.54,237904.85,,,308249008.01,32232982.48,,,,276016025.53,286838396.38,,-10822370.85,,,0.1,0.1,-224596.5,-224596.5,,275791429.03,286613799.88,-10822370.85,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20161231,13329094010.82,13329094010.82,,,,,,,,11905313751.65,8303330527.99,,,,,,,,,,,85107746.06,1638140112.84,1831477357.29,-81887001.77,129145009.24,,,2851456,6642772.49,1658248.41,,,,,,,,1433274487.66,592089061.12,13026021.85,652183.97,,,2012337526.93,202185238.62,,,,1810152288.31,1825199447.95,,-15047159.64,,,0.63,0.63,3020626.04,3020626.04,,1813172914.35,1828220073.99,-15047159.64,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160930,7968634527.28,7968634527.28,,,,,,,,7209873734.83,4896834064.18,,,,,,,,,,,51294526.06,980503448.04,1187372179.52,-33439424.32,127308941.35,,,2851456,10275010.3,-10234573.88,,,,,,,,771887258.75,382362007.59,14758043.75,441482.97,,,1139491222.59,73964982.3,,,,1065526240.29,1069555716.91,,-4029476.62,,,0.37,0.37,296689.55,296689.55,,1065822929.84,1069852406.46,-4029476.62,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160630,4949746889.51,4949746889.51,,,,,,,,4390573419.2,3046785118.86,,,,,,,,,,,30430834.82,578257111.87,686703967.54,-22092119.71,70488505.82,,,2851456,12782064.33,-5409647.98,,,,,,,,574806990.64,248612986.65,6655077.98,338061.13,,,816764899.31,106393965.53,,,,710370933.78,709741024.33,,629909.45,,,0.25,0.25,560712.03,560712.03,,710931645.81,710301736.36,629909.45,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160331,1782728113.94,1782728113.94,,,,,,,,1696852178.02,1092805341.89,,,,,,,,,,,11974897.26,254657755.58,313527283.43,5484056.14,18402843.72,,,660960,899541.01,-169168.62,,,,,,,,87436436.93,160883240.4,3275321.98,67889.97,,,245044355.35,30624258.89,,,,214420096.46,215240055.79,,-819959.33,,,0.07,0.07,-98614.93,-98614.93,,214321481.53,215141440.86,-819959.33,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20151231,10077833438.49,10077833438.49,,,,,,,,8884801956.74,6326729830.19,,,,,,,,,,,78699315.28,1142764719.85,1234368469.87,-90042378.12,192281999.67,,,-5228415.65,14013463.97,715015.65,,,,,,,,1201816530.07,392283263.35,15852710.05,103234.97,,,1578247083.37,197123573.47,,,,1381123509.9,1372301211.87,,8822298.03,,,1.2,1.18,-670492.91,-670492.91,,1380453016.99,1371630718.96,8822298.03,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150930,5830194178.29,5830194178.29,,,,,,,,5197526829.58,3604511249.5,,,,,,,,,,,44042708.26,697718959.08,827465368.05,-64587342.21,88375886.9,,,-2119005.65,11446994.44,353243.58,,,,,,,,641995337.5,243669306.49,8321016.97,52266.92,,,877343627.02,117201768.19,,,,760141858.83,761185688.48,,-1043829.65,,,0.65,0.65,-543429.56,-543429.56,,759598429.27,760642258.92,-1043829.65,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150630,3468887211.13,3468887211.13,,,,,,,,3100005740.53,2145251631.17,,,,,,,,,,,27351897.29,389070954.75,501568369.07,-15569165.39,52332053.64,,,118161.95,9617468.88,-173161.17,,,,,,,,378617101.43,162354576.6,5165757.65,38900.35,,,535805920.38,72489001.48,,,,463316918.9,463807123.29,,-490204.39,,,0.4,0.4,-56495.07,-56495.07,,463260423.83,463750628.22,-490204.39,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150331,1202598595.55,1202598595.55,,,,,,,,1136952462.61,747062083.17,,,,,,,,,,,12211443.65,146245938.87,220051056.11,-8564667.71,19946608.52,,,-1793411.03,5956851.24,-298639.57,,,,,,,,69809573.15,46649901.69,2073226.24,,,,114386248.6,10897625.92,,,,103488622.68,103404954.02,,83668.66,,,0.09,0.09,-32632.88,-32632.88,,103455989.8,103372321.14,83668.66,,,,,,,,,,,,,,,,,,,,,,,,
