"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20140101,20140930,190442000000,190442000000,,,,,,,,144062000000,125658000000,,,,,,,,,,,2822000000,563000000,12575000000,2220000000,224000000,,,-35000000,494000000,252000000,,,,,,,,46839000000,496000000,343000000,102000000,,,46992000000,10027000000,,,,36965000000,29632000000,,7333000000,,,1.49,1.49,-35000000,,,36930000000,29595000000,7335000000,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140630,129197000000,129197000000,,,,,,,,96254000000,84030000000,,,,,,,,,,,1869000000,381000000,8018000000,1710000000,246000000,,,26000000,202000000,140000000,,,,,,,,33171000000,322000000,159000000,17000000,,,33334000000,7016000000,,,,26318000000,21546000000,,4772000000,,,1.08,1.08,277000000,,,26595000000,21821000000,4774000000,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140331,60929000000,60929000000,,,,,,,,45623000000,39748000000,,,,,,,,,,,946000000,184000000,3817000000,833000000,95000000,,,18000000,77000000,47000000,,,,,,,,15401000000,144000000,84000000,1000000,,,15461000000,2827000000,,,,12634000000,10373000000,,2261000000,,,0.52,0.52,177000000,175000000,2000000,12811000000,10548000000,2263000000,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20131231,283797000000,283797000000,,,,,,,,214306000000,187713000000,,,,,,,,,,,4845000000,1031000000,18128000000,2101000000,488000000,,,-156000000,820000000,595000000,,,,,,,,70155000000,556000000,943000000,579000000,,,69768000000,14061000000,,,,55707000000,45678000000,986000000,10029000000,,,2.3,2.3,-802000000,,,54905000000,44892000000,10013000000,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20130930,197467000000,197467000000,,,,,,,,146442000000,128438000000,,,,,,,,,,,3513000000,693000000,12053000000,1586000000,159000000,,,-127000000,510000000,304000000,,,,,,,,51408000000,259000000,435000000,257000000,,,51232000000,9888000000,,,,41344000000,33671000000,,7673000000,,,1.69,1.69,-578000000,,,40766000000,33106000000,7660000000,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20130630,127226000000,127226000000,,,,,,,,92211000000,80980000000,,,,,,,,,,,2383000000,449000000,7537000000,748000000,114000000,,,-136000000,461000000,272000000,,,,,,,,35340000000,181000000,349000000,227000000,,,35172000000,6484000000,,,,28688000000,23979000000,,4709000000,,,1.21,1.21,-526000000,,,28162000000,23452000000,4710000000,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20130331,60039000000,60039000000,,,,,,,,43747000000,38356000000,,,,,,,,,,,1107000000,215000000,3657000000,363000000,49000000,,,-72000000,254000000,84000000,,,,,,,,16474000000,59000000,49000000,6000000,,,16484000000,3021000000,,,,13463000000,11065000000,,2398000000,,,0.56,0.56,-36000000,-26000000,-10000000,13427000000,11039000000,2388000000,,,,,,,,,,,,,,,,,,,,,,,,
20120101,20121231,250260000000,250260000000,,,,,,,,183699000000,160214000000,,,,,,,,,,,4763000000,867000000,15600000000,2142000000,113000000,,,-14000000,534000000,448000000,,,,,,,,67081000000,829000000,662000000,197000000,,,67248000000,11541000000,,,,55707000000,47661000000,,8046000000,,,2.4,2.4,80000000,,,55787000000,47735000000,8052000000,,,,,,,,,,,,,,,,,,,,,,,,
20120101,20120930,178367000000,178367000000,,,,,,,,127569000000,110922000000,,,,,,,,,,,3544000000,715000000,10499000000,1889000000,,,,37000000,362000000,301000000,,,,,,,,51197000000,427000000,471000000,73000000,,,51153000000,8738000000,,,,42415000000,36555000000,85000000,5860000000,,,1.84,1.84,81000000,,,42496000000,36633000000,5863000000,,,,,,,,,,,,,,,,,,,,,,,,
20120101,20120630,121468000000,121468000000,,,,,,,,86853000000,75984000000,,,,,,,,,,,2429000000,457000000,6659000000,1324000000,,,,1000000,211000000,171000000,,,,,,,,34827000000,337000000,222000000,25000000,,,34942000000,5740000000,,,,29202000000,25181000000,,4021000000,,,1.27,1.27,-18000000,,,29184000000,25169000000,4015000000,,,,,,,,,,,,,,,,,,,,,,,,
